director,avg_rating
George Fitzmaurice,8.0
Sam Campos,8.0
Heather Robinson,8.0
John Fisk,8.0
Darren Aronofsky,8.0
Franklin J. Schaffner,7.980000000000001
Lars von Trier,7.95
Clint Eastwood,7.9399999999999995
"Merian C. Cooper,",7.900000000000001
Shôhei Imamura,7.9
Sebastian Li,7.9
"Joel Crawford,",7.9
Michel Hazanavicius,7.9
"Jean Cocteau,",7.9
Jon Favreau,7.9
Stanley Donen,7.9
"Michael Curtiz,",7.9
Hemanth M. Rao,7.9
Alfonso Cuarón,7.9
John Landis,7.9
Lee Tamahori,7.9
John Carney,7.9
J.J. Abrams,7.9
Howard Hawks,7.9
David Lussier,7.9
"Andrew Adamson,",7.9
Taika Waititi,7.9
Ericson Core,7.9
Faisal Hashmi,7.9
Sam Peckinpah,7.9
Mamoru Oshii,7.9
Hal Ashby,7.9
Nick Lang,7.9
Neill Blomkamp,7.9
Boris Baum,7.9
Gérard Oury,7.9
Eddie Garcia,7.9
Taylor Hackford,7.9
Tony Scott,7.9
Doug Liman,7.9
Rian Johnson,7.9
